id,smile,can_smiles
38,CCCNC(=O)C1=CC(OC)=C(C=C1)B2OC(C)(C)C(C)(C)O2,COC1C=C(C=CC=1B1OC(C)(C)C(C)(C)O1)C(=O)NCCC
39,C(CCCCN1[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)C1)COCC(F)(F)F,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCCOCC(F)(F)F
40,CC(C)(C)OC(=O)N(C)CCOC1C(F)=CC(Br)=CC=1,CN(CCOC1=CC=C(Br)C=C1F)C(=O)OC(C)(C)C
41,CC(=O)C(C)C1C=C(Cl)C=CC=1,CC(=O)C(C)C1C=C(Cl)C=CC=1
42,NCCCC(=O)N[C@@H](C)C(O)=O,C[C@H](NC(=O)CCCN)C(O)=O
43,CC(=C)[N+](=O)[O-],CC(=C)[N+]([O-])=O
44,NCCCSC1=C2C(C=CC(OC)=C2)=NC3C1=CC(Cl)=CC=3,COC1=CC2=C(SCCCN)C3=CC(Cl)=CC=C3N=C2C=C1
45,FC(F)(F)SCC(=O)NC1CCCC1,O=C(CSC(F)(F)F)NC1CCCC1
46,CC1C=C(N)C=NC=1,CC1C=C(N)C=NC=1
47,COC(=O)CCC1C(=NNC=1)C2=CSC=C2,COC(=O)CCC1=CNN=C1C1C=CSC=1
48,CCOC(=O)[C@@H]1CN(C)CCC1,CCOC(=O)[C@@H]1CN(C)CCC1
49,Cl.C1=CC=C(C=C1)CCNCC2=CC=CC=C2,Cl.C(NCCC1C=CC=CC=1)C1C=CC=CC=1
50,O=CC1OC(=CC=1)C2=C([N+](=O)[O-])C=C(Cl)C=C2,[O-][N+](=O)C1C=C(Cl)C=CC=1C1=CC=C(C=O)O1
51,Clc1ccc(cc1)N(CC)c2cc(Cl)cc(Cl)c2,CCN(c1ccc(Cl)cc1)c1cc(Cl)cc(Cl)c1
52,[H]Cl.CC1=C(SC=C1)C(=O)N[C@@H]2CNCC2,Cl.CC1C=CSC=1C(=O)N[C@@H]1CNCC1
53,CCCCCCCCN(CCc1ccccc1)c2c(F)cc(F)cc2,CCCCCCCCN(CCc1ccccc1)c1ccc(F)cc1F
54,CC(=O)NCCN(c1cc([N+](=O)[O-])ccc1)c2c(F)cccc2F,CC(=O)NCCN(c1c(F)cccc1F)c1cc(ccc1)[N+]([O-])=O
55,OCCN(C(C)(C)C)c1sc(=S)nn1,CC(C)(C)N(CCO)c1[n][nH]c(=S)[s]1
56,BrCCC(C)N(C(=O)c1ccc([N+](=O)[O-])cc1)c2nc(cs2)c3ccccc3,CC(CCBr)N(c1[n]c(c[s]1)-c1ccccc1)C(=O)c1ccc(cc1)[N+]([O-])=O
57,CCOC(=O)C1=C(C)C(C)=C(C)N1,CC1=C(NC(C)=C1C)C(=O)OCC
58,COC(=O)C1C=NC(=CC=1)OC2=C(Cl)C=C(C=C2)C(F)(F)F,COC(=O)C1=CC=C(N=C1)OC1C=CC(=CC=1Cl)C(F)(F)F
